period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000207,Baix Camp - 43145-0138,344528.66,4564228.23,F000207NPM,Nivell piezomètric
before_2007,0005,0011,F000208,Baix Camp - 43145-0139,344311.42,4563517.16,F000208NPM,Nivell piezomètric (F000208NPM)
before_2007,0005,0011,F000209,Baix Camp - 43095-0017,349633.95,4562423.45,F000209NPM,Nivell piezomètric
before_2007,0005,0011,F000210,Baix Camp - 43005-0110,348407.73,4569698.54,F000210NPA,Nivell piezomètric (F000210NPA_Limnigraf)
before_2007,0005,0011,F000210,Baix Camp - 43005-0110,348407.73,4569698.54,F000210NPM,43005-0110_Alcover_Nivell piezomètric_Manual
before_2007,0005,0011,F000212,Alt Camp - 43066-0012,353099.21,4564130.72,F000212NPM,Nivell piezomètric (F000212NPM)
before_2007,0005,0011,F000213,Alt Camp - 43165-0013,359041,4568765,F000213NPA,Nivell piezomètric (F000213NPA)
before_2007,0005,0011,F000213,Alt Camp - 43165-0013,359041,4568765,F000213NPM,43165-0013_Vilabella_Brafim_Nivell piezometric_Manual
before_2007,0005,0011,F000216,Baix Camp - 43160-0055,351882.54,4564805.09,F000216NPM,Nivell piezomètric (F000216NPM)
before_2007,0005,0011,F000217,Alt Camp - 43144-0032,354563.94,4565230.93,F000217NPA,Nivell piezomètric (F000217NPA)
before_2007,0005,0011,F000217,Alt Camp - 43144-0032,354563.94,4565230.93,F000217NPM,Nivell piezomètric (F000217NPM)
before_2007,0005,0011,F000222,Alt Camp - 43170-0031,362642,4572014,F000222NPM,Nivell piezomètric
before_2007,0005,0011,F000226,Baix Francolí - 43109-0020,351415.63,4559325.12,F000226NPM,43109-0020_Pobla Mafumet_Enpetrol_Nivell piezometric_Manual
before_2007,0005,0011,F000229,Baix Camp - 43007-0123,336119.19,4560266.3,F000229NPA,Nivell piezomètric (F000229NPA)
before_2007,0005,0011,F000229,Baix Camp - 43007-0123,336119.19,4560266.3,F000229NPM,Nivell piezomètric (F000229NPM)
before_2007,0005,0011,F000233,Baix Camp - 43033-0072,331263.33,4554682.71,F000233NPM,Nivell piezomètric (F000233NPM)
before_2007,0005,0011,F000234,Baix Camp - 43129-0180,338163.97,4552890.97,F000234NPM,Nivell piezomètric (F000234NPM)
before_2007,0005,0011,F000235,Baix Camp - 43123-0260,341781.31,4556805.03,F000235NPM,Nivell piezomètric (F000235)
before_2007,0005,0011,F000236,Baix Camp - 43123-0275,344422.32,4555073.62,F000236NPM,Nivell piezomètric
before_2007,0005,0011,F000238,Baix Camp - 43905-0030,343566.94,4550907.15,F000238NPM,Nivell piezomètric (F000238)
before_2007,0005,0011,F000239,Baix Camp - 43092-0158,328241.22,4546176.69,F000239NPM,Nivell piezomètric
before_2007,0005,0011,F000240,Baix Camp - 43092-0159,325810.06,4544132.31,F000240NPM,Nivell piezomètric
before_2007,0005,0011,F000241,Baix Camp - 43092-0160,326133.3,4543055.83,F000241NPM,Nivell piezomètric
before_2007,0005,0011,F000242,Baix Camp - 43092-0161,331045.02,4545613.37,F000242NPM,Nivell piezomètric
before_2007,0005,0011,F000243,Baix Camp - 43092-0164,330436.17,4549384.83,F000243NPM,43092-0164_Mont-roig Camp_Mont-roig 2_Nivell piezometric_Manual
before_2007,0005,0011,F000244,Baix Camp - 43092-0162,331773.09,4545744.79,F000244NPM,Nivell piezomètric
